"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",39.25975,-1.911389,1.149,,1.219,,5284
"SAN ROQUE DE TOBARRA S. COOP. DE C-LM",38.603306,-1.694083,1.025,0.68,,,12786
"E.S. TOBARRA",38.594639,-1.685417,1.139,,1.239,1.379,11399
"NTRA. SRA. DE LA ENCARNACION",38.601722,-1.680833,1.029,,1.129,,13778
"REPSOL",38.602278,-1.680917,1.169,0.845,1.249,1.389,5219
"Nº 15.526",39.131944,-1.679528,1.179,0.799,1.259,1.38,4391
"RESTAURANTE LAS POLAS",39.302389,-2.067639,1.099,,1.209,,4895
"REPSOL",39.366861,-1.592778,1.149,0.796,1.229,1.369,5258
"REPSOL",38.581722,-2.626222,1.159,0.839,1.239,1.399,4893
"REPSOL",39.278222,-2.602028,1.129,0.799,1.239,1.379,5305
"CEPSA",39.261472,-2.599417,1.149,0.805,1.235,,4785
"REPSOL",39.258778,-2.586778,1.165,,1.229,1.329,11797
"VEN Y VEN OIL",39.276944,-2.590028,1.079,,1.189,1.339,12015
"ESTACIÓN DE SERVICIO AVENIDA DEL OESTE",39.27225,-2.617083,1.129,0.889,1.296,1.389,4368
"REPSOL",39.293722,-2.567139,1.139,,1.195,1.295,5167
"REPSOL",39.257528,-2.613778,1.139,0.825,1.195,1.295,5123
"CARREFOUR",39.285722,-2.579639,1.099,,1.219,1.369,4442
"CEPSA",39.198,-2.713722,1.155,0.859,1.223,1.338,5184
"CEPSA",39.205194,-2.708528,1.155,,1.215,1.33,12146
"BP OIL ESPAÑA, S.A.",39.277056,-2.591722,1.119,,1.229,1.379,11976
"GALP",39.272056,-2.594111,1.117,,1.223,,5327
"CEPSA",38.368667,-2.314667,1.155,,1.225,,4796
"CAMPSA",38.368278,-2.30225,,0.824,,,4439
"GALP",38.408861,-0.599444,1.217,,1.293,1.407,11305
"GALP",38.406528,-0.599972,1.217,,1.293,1.407,11306
"PETRONOR",38.434417,-0.63725,1.149,0.834,1.259,,3683
"VALCARCE",38.429417,-0.66225,1.159,0.773,1.249,1.334,9478
"CEPSA",38.199389,-0.848833,1.153,0.819,1.263,,3565
"REPSOL",38.175028,-0.854056,1.159,0.824,1.229,1.329,3692
"REPSOL",38.165222,-0.89475,1.159,0.829,1.239,1.349,3588
"REPSOL",38.199417,-0.848722,1.159,,1.239,1.349,3589
"GALP",38.695083,-0.477972,1.064,,1.149,1.289,3713
"GALP",38.683389,-0.471306,1.114,,1.199,1.339,3728
"SHELL",38.688639,-0.479611,1.114,,1.204,1.344,9298
"PETRONOR",38.691889,-0.489611,1.149,,1.245,1.385,3586
"REPSOL",38.70875,-0.472556,1.159,,1.255,1.395,11428
"REPSOL",38.714361,-0.462528,1.159,,1.255,1.395,3475
"MAS OIL ALICANTE",38.689083,-0.479694,1.089,,1.189,,13370
"ARBIT",38.581361,-0.105389,1.108,,1.208,1.318,3623
"GALP",38.567722,-0.082972,1.137,,1.233,1.343,3733
"BP",38.058389,-0.746611,1.165,,1.255,1.395,11929
"GALP",38.37,-0.446667,1.159,,1.249,1.359,8300
"FEROYL",38.385639,-0.449972,1.139,,1.229,1.349,13759
"VISTAHERMOSA",38.375472,-0.453806,1.149,,1.239,1.382,3603
"GASEXPRESS",38.375972,-0.498972,0.997,,1.117,,13572
"AVANZA",38.383583,-0.48975,1.037,,1.147,,13568
"ATALAYAS",38.338278,-0.566472,1.159,,1.249,,3453
"GM OIL",38.377722,-0.504722,0.985,,1.099,,12649
"PETROPRIX",38.303611,-0.521389,1.038,,1.148,,13584
"PETROPRIX",38.376944,-0.499722,0.987,,1.107,,13585
"TAMOIL",38.335861,-0.512472,1.128,,1.218,1.338,3731
"REPSOL",38.358556,-0.483944,1.165,,1.259,1.399,3593
"SHELL",38.345583,-0.517889,1.125,,1.204,1.344,9119
"SHELL",38.374139,-0.506833,1.104,,1.199,1.339,8379
"CARREFOUR",38.340028,-0.51775,1.119,,1.219,,12961
"BALLENOIL",38.345056,-0.522278,1.069,,1.179,,13593
"CEPSA",38.359278,-0.466972,1.145,,1.239,1.354,10940
"CEPSA",38.359667,-0.467361,1.145,,1.239,1.354,10941
"CEPSA",38.343611,-0.545111,1.145,,1.229,,3406
"CEPSA",38.338611,-0.516,1.145,,1.239,1.354,9302
"CEPSA",38.337778,-0.500389,1.145,,1.239,1.354,3412
"CEPSA",38.363639,-0.434556,1.145,,1.239,1.354,3417
"CEPSA",38.375111,-0.486944,1.145,,1.239,1.354,3421
"CEPSA",38.355528,-0.487889,1.149,,1.249,,3431
"CONFORT AUTO",38.344,-0.524194,1.129,,1.235,1.349,11716
"GALP",38.34525,-0.520556,1.129,,1.219,1.349,3727
"GALP",38.337778,-0.523139,1.139,,1.229,1.359,3749
"PETRONOR",38.342361,-0.607083,1.149,,1.245,1.385,3660
"ALCAMPO",38.370694,-0.466806,0.975,,1.089,1.233,13283
"PETROALACANT",38.34825,-0.555389,1.124,0.8,1.204,1.339,9191
"PETRO ALACANT",38.344917,-0.518333,1.124,,1.204,1.339,12485
"LA GOTETA",38.355389,-0.472306,1.145,,1.239,1.354,3580
"REPSOL",38.376194,-0.508861,1.165,,1.249,1.359,3690
"REPSOL",38.38625,-0.447417,1.169,,1.259,1.399,3680
"REPSOL",38.351361,-0.487472,1.155,,1.249,,3643
"REPSOL",38.364222,-0.494306,1.155,,1.239,,10245
"REPSOL",38.357,-0.47675,1.155,,1.249,,3673
"REPSOL",38.344611,-0.522944,1.155,,1.239,1.379,11474
"REPSOL",38.370222,-0.4975,1.155,,1.239,1.349,3550
"REPSOL",38.401,-0.47775,1.159,,1.255,1.375,3470
"PETRONOR",38.344944,-0.523167,1.155,,1.239,1.379,3684
"CEPSA",38.344139,-0.538472,1.145,0.799,1.229,1.344,3446
"E.S. REJAS VERDES",38.370083,-0.486611,1.129,,1.223,1.366,10710
"REPSOL",38.375333,-0.499444,1.155,,1.239,1.349,12283
"CAMPSA",38.378083,-0.488194,1.149,,1.249,1.359,3695
"CEPSA",38.339667,-0.564806,,,,,12578
"REPSOL",38.411,-0.565972,1.089,,1.199,1.309,1893
"REPSOL",38.4115,-0.565444,1.149,,1.259,1.359,9455
"CAMPSA EXPRESS",38.103833,-0.781472,1.125,,1.215,1.339,3514
"REPSOL",38.104778,-0.797083,1.169,0.83,1.259,1.389,9717
"LAS MAROMAS",38.099361,-0.796528,1.119,0.789,1.219,1.339,9613
"GALP",38.115139,-0.78875,1.135,,1.223,1.339,3721
"CEPSA",38.123556,-0.781806,1.149,0.779,1.235,1.35,3410
"GALP",38.593222,-0.054917,1.139,,1.259,1.369,3712
"CEPSA ELF",38.62675,-0.0385,1.159,,1.259,1.374,3444
"REPSOL",38.586556,-0.064694,1.155,,1.249,1.379,3517
"REPSOL",38.605917,-0.078472,1.155,,1.249,1.379,3484
"REPSOL",38.604722,-0.048611,1.165,,1.259,1.389,3402
"LEVANTINA",38.356139,-0.770417,1.149,,1.259,,11522
"MARTI SERRA, S.A.",38.3555,-0.772833,1.079,,1.179,,3649
"BP",38.325917,-0.767139,1.169,,1.259,1.399,10582
"REPSOL",38.336722,-0.774111,1.159,0.859,1.259,1.399,3542
"CONFORT AUTO",38.358167,-0.770917,1.129,,1.235,1.379,11718
"GALP ",38.356306,-0.772361,1.069,,1.179,,12853
"CEPSA ESPAÑA S.A.",38.354028,-0.772639,1.159,,1.259,1.379,1943
"BAÑERES",38.720111,-0.671194,1.059,,1.199,1.239,3663
"REPSOL",38.715917,-0.664056,1.155,,1.235,,3405
"COOPERATIVA DIVINA AURORA",38.701889,-0.76775,1.089,0.699,1.179,,1907
"ESTACIONES DE SERVICIO DIEGO S.L.",38.698,-0.771194,1.029,0.64,1.149,1.25,10302
"REPSOL",38.076944,-0.843056,1.169,0.849,1.299,1.339,3574
"EUROBENIDORM",38.543139,-0.102722,1.169,,1.269,1.411,3598
"BP BENIDORM",38.544194,-0.11925,1.169,,1.269,1.411,3632
"LA ISLETA",38.541722,-0.134139,1.169,,1.269,1.411,1896
"REPSOL",38.559583,-0.134444,1.155,,1.259,1.369,11766
"GALP",38.533639,-0.16225,1.127,,1.223,1.333,3716
"GALP",38.557694,-0.1015,1.137,,1.233,1.343,3429
"GALP",38.558056,-0.101917,1.137,,1.233,1.343,3430
"(SIN RÓTULO)",38.698833,-0.386472,1.139,0.829,1.234,,1892
"GASEXPRESS",38.677722,0.105778,1.039,,1.169,,13780
"ROSELLO",38.718611,0.059389,1.047,,1.178,,13579
"MEROIL",38.726757,0.076579,1.109,,1.203,1.399,3393
"MASOIL",38.719222,0.060556,1.039,,1.169,,13381
"REPSOL",38.713389,0.046556,1.155,,1.249,,3526
