"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",38.559583,-0.134444,1.279,,1.389,1.489,11766
"EUROBENIDORM",38.543139,-0.102722,1.289,,1.389,1.531,3598
"LA ISLETA",38.541722,-0.134139,1.289,,1.389,1.531,1896
"(SIN RÓTULO)",38.698833,-0.386472,1.259,0.909,1.359,,1892
"REPSOL",38.713389,0.046556,1.299,,1.389,,3526
"MEROIL",38.726757,0.076579,1.219,,1.319,1.499,3393
"BP",38.718139,0.060194,1.289,,1.389,1.531,8795
"GASEXPRESS",38.677722,0.105778,1.189,,1.289,,13780
"MASOIL",38.719222,0.060556,1.209,,1.309,,13381
"ROSELLO",38.718611,0.059389,1.168,,1.276,,13579
"(SIN RÓTULO)",38.738972,0.152139,1.249,,1.339,1.469,8349
"REPSOL",38.630583,-0.786556,1.295,0.899,1.389,1.499,3458
"CEPSA",38.059194,-0.885222,1.299,,1.399,1.489,3445
"BIGASOIL",38.059056,-0.884611,1.159,,1.269,,13879
"ATLANTIS EXPRESS",38.477806,-0.424194,1.259,,1.359,,13006
"PETRONOR",38.143139,-0.927583,1.309,,1.399,1.499,3575
"REPSOL",38.125694,-0.867333,1.279,,1.369,1.489,12442
"BP OIL ESPAÑA, S.A.U.",38.12775,-0.861861,1.279,,1.379,1.489,12401
"REPSOL",38.6495,-0.121194,1.311,0.976,1.411,1.534,3669
"AUTOFUEL LOW COST",38.64575,0.051139,1.199,,1.299,,13958
"GASEXPRESS",38.646306,0.04175,1.199,,1.299,,13667
"REPSOL",38.645444,0.050278,1.292,,1.394,1.535,3512
"SARAS ENERGIA ",38.646306,0.040556,1.219,,1.329,1.504,1960
"CALPE AUTOMOCION II",38.652972,0.037806,1.219,,1.319,1.491,9245
"CALPE AUTOMOCION",38.653028,0.037306,1.289,,1.389,1.531,3639
"GALP",38.418806,-0.393167,1.249,,1.339,1.459,1941
"PETRONOR",38.450167,-0.373611,1.289,,1.379,1.479,3567
